"ZIP3","X_centroid","Y_centroid"
521,-91.7342377,43.2073135
522,-91.7666931,41.9003067
523,-91.7428436,41.8701897
524,-91.6749268,41.968235
525,-92.4530716,40.9473419
526,-91.4257355,40.8837433
527,-90.8738327,41.6434898
528,-90.6156082,41.5665512
530,-88.2433777,43.5175018
531,-88.3261871,42.7553482
532,-87.9721985,43.0639877
534,-87.8349304,42.7491837
535,-89.6780472,42.9430351
537,-89.3828354,43.0740471
538,-90.7432709,42.8768997
539,-89.5469666,43.6344757
540,-92.4733582,45.0907593
541,-88.2481461,45.079628
542,-87.5738068,44.5570755
543,-88.0003967,44.5272331
544,-89.8376007,44.9318275
545,-89.8244934,45.8772545
546,-90.8775101,43.9363403
547,-91.5239792,44.8601227
548,-91.601181,46.0625763
549,-88.9316254,44.1874733
550,-92.9743881,45.1643906
551,-93.0795364,44.9626465
553,-94.0617905,44.993309
554,-93.3165817,45.0109863
556,-91.1062012,47.6433716
557,-92.7760696,47.3009644
558,-92.0903931,46.9709435
559,-92.2810135,43.8890076
560,-94.0376205,44.0212364
561,-95.6565475,43.9316635
562,-95.7283859,45.0838432
563,-94.6002502,45.8280907
564,-94.4946899,46.6251106
565,-96.0836945,46.852478
566,-94.3520584,47.9120026
567,-96.2241898,48.4280472
570,-97.0645065,43.4749298
571,-96.7517776,43.5504646
572,-97.1690674,45.0469055
573,-98.5189972,43.9130554
574,-98.9135437,45.3602676
575,-100.6325531,43.8446159
576,-101.5898209,45.3869247
577,-103.1404953,44.2512093
580,-97.3871689,46.6582985
581,-96.8361969,46.8664818
582,-97.726944,48.2572594
583,-99.3361511,48.3185005
584,-99.1176071,46.8825455
585,-101.0256577,46.7291565
586,-102.9787369,46.75457
587,-101.67276,48.3458748
588,-103.5283661,48.1617241
590,-108.5228882,45.9287338
591,-108.4191895,45.681591
592,-105.6484909,48.2175827
593,-105.6096344,46.4377632
594,-111.2892914,47.8043747
595,-109.1184387,48.3901176
596,-111.6827698,46.6326866
597,-112.3013535,45.4726295
598,-114.2017517,46.9826431
599,-114.5686951,48.3629494
600,-88.1549301,42.2934761
601,-88.4776077,42.0133438
602,-87.6960831,42.0464935
603,-87.7999649,41.889843
604,-88.1062012,41.3846741
605,-88.5318222,41.6816978
606,-87.6837692,41.8334465
607,-87.7982407,41.9869576
608,-87.7067337,41.7157936
609,-87.9247818,40.7974472
610,-89.5908127,42.1719971
611,-89.0830383,42.2791481
612,-90.3110886,41.4902802
613,-89.1803055,41.3455124
614,-90.4250183,40.8279266
615,-89.7131958,40.6903954
616,-89.6092682,40.7065849
617,-88.8892136,40.5210304
618,-88.1533279,40.1105461
619,-88.1999588,39.6539154
620,-89.9827652,39.1241074
622,-89.7210693,38.4082336
623,-91.0201721,39.9967575
624,-88.1864471,39.0324783
625,-89.1975937,39.6357384
626,-90.0097122,39.8483887
627,-89.6546478,39.7969208
628,-88.6346436,38.3431091
629,-88.9060669,37.5430527
630,-90.8151245,38.3678055
631,-90.3266678,38.6320457
633,-91.112915,39.0151215
634,-91.7807465,39.9382057
635,-92.6222076,40.2069817
636,-90.5956192,37.6340866
637,-89.8033905,37.3638916
638,-89.7288437,36.5584831
639,-90.6062164,36.85112
640,-94.11129,39.0749283
641,-94.5716171,39.1391258
644,-94.7047424,40.1404076
645,-94.8410492,39.7398605
646,-93.5650711,39.8869743
647,-94.1437836,38.0560722
648,-94.3469391,36.9294128
650,-92.2325974,38.4473839
651,-92.2013397,38.5226097
652,-92.3814697,39.2137909
653,-93.2537231,38.7069321
654,-91.742012,37.6241112
655,-91.8550262,37.6332397
656,-92.947525,37.0718575
657,-92.9288025,37.1077385
658,-93.3024521,37.2244606
660,-95.1241913,38.8341293
661,-94.7521057,39.1220818
662,-94.7322006,38.9577827
664,-96.1083679,39.3662033
665,-96.1571884,39.3485909
666,-95.7591095,39.067009
667,-95.2197266,37.6354065
668,-96.3840714,38.3621292
669,-97.8321381,39.7702179
670,-97.6939468,37.4882507
671,-97.8939896,37.4945946
672,-97.3287506,37.6987991
673,-95.7903824,37.235405
674,-97.791626,38.9755173
675,-98.9468536,38.2302132
676,-99.450058,39.3241768
677,-101.1320648,39.3378754
678,-100.8016052,37.8852806
679,-101.4308929,37.1812286
680,-96.4541168,41.5455475
681,-96.0442352,41.246479
683,-96.852478,40.414257
684,-96.6562195,40.5522499
685,-96.6789551,40.8278656
686,-97.6651382,41.5384903
687,-98.1901627,42.4300766
688,-99.0954666,41.313015
689,-98.9057465,40.3388481
690,-100.9951019,40.3648796
691,-101.5426865,41.3835983
692,-100.8885193,42.5741577
